# timestamp x y z qx qy qz qw
1305031453.404816 1.314012340424231 0.8118546052365587 1.5383067972122644 0.892540878920852 0.22305511607595874 -0.07877406206561027 -0.3839424980296098
1305031453.436941 1.3120688572422095 0.7904918254167983 1.5559275005622335 0.8982941798913019 0.21661914149941966 -0.06948971501894372 -0.3759187324622888
1305031453.473352 1.3020256844479376 0.780085605651906 1.5730023734801855 0.9066248806915383 0.21117264013848525 -0.057702074328365535 -0.3607047440583497
1305031453.505218 1.292642088329475 0.7629532263172095 1.594869524063875 0.911185329777761 0.2037575113334435 -0.04818117535204681 -0.35482776908620006
1305031453.538301 1.2911727646030784 0.7539218677633666 1.6110712835134957 0.9164661244152008 0.19516598978705899 -0.043043963235584196 -0.3466227004378001
1305031453.574074 1.2946402326306472 0.7532659864035623 1.6320910554380335 0.9206571033144312 0.18965962857906465 -0.0388340828527188 -0.33898619059324575
1305031453.605314 1.2881556867056116 0.7639875008516213 1.6479323871111717 0.9252016002759851 0.1875752994811542 -0.03327407295687285 -0.3281925379105573
1305031453.636951 1.2872828019948246 0.7759048350291322 1.6703321902961694 0.9291596482574596 0.1865317000006191 -0.028504407545559593 -0.31789270469048186
1305031453.673185 1.2965748188169153 0.8069187961000681 1.6642359846265504 0.9328110028203292 0.1885848758063479 -0.03152713114693469 -0.30545935512941813
1305031453.705487 1.3103048332349916 0.8377581162827147 1.6530128292926374 0.9348601554044547 0.19141245776348828 -0.039401169184897576 -0.29638709269629604
1305031453.736856 1.324862410919415 0.8598556618412632 1.641088080425652 0.935396377564295 0.1943052437860596 -0.04981798000042231 -0.2911996874062755
1305031453.773786 1.344992199891382 0.8888022142545905 1.6471191431413237 0.934949225203013 0.19899886390266788 -0.057989420191852846 -0.287935106584011
1305031453.805041 1.376031427155321 0.911020396010962 1.6288898823172373 0.9341313911841842 0.20058977058440838 -0.07226081245109267 -0.2862527954887129
1305031453.840352 1.4019038689337024 0.9218640533336466 1.6450930616212898 0.9320879993997718 0.20240022380966677 -0.08068706720806493 -0.2893712286356211
1305031453.869618 1.4468124831417692 0.9427806292268263 1.5961931402929401 0.9306104239179188 0.2011751650482772 -0.10754259383095213 -0.28622959730821085
1305031453.905519 1.5142941559782486 0.9329076895821735 1.4489305370280112 0.9281305635051167 0.18254312732255437 -0.16044495020806537 -0.2819735478865131
1305031453.940012 1.571362741347654 0.9214079328465999 1.3584794702237597 0.9187050273782049 0.1702810556881523 -0.20390290944212852 -0.2922482476675869
1305031453.972592 1.615432298902921 0.9302414653126148 1.3175091348464822 0.9165181066611814 0.17191253264515471 -0.21731612724974836 -0.28846896214134243
1305031454.003179 1.637810580917478 0.9525265442643669 1.266735501392369 0.9114744196658234 0.17521729979626113 -0.23656576256824002 -0.28731501897301637
1305031454.040976 1.6543540069008247 0.9831524693443284 1.1708121746973392 0.9073605380213289 0.1751706587126388 -0.26212065590290357 -0.27803750847117115
1305031454.07269 1.6700169673818877 1.019580130977591 1.1326475116601729 0.9033326889921242 0.18274487746779552 -0.2753413317015913 -0.2734620884406703
1305031454.104619 1.673688457988758 1.0658744704359346 1.0941603902071952 0.896936503524757 0.19243439329156475 -0.2918947887166488 -0.2706868028614509
